PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
1,0,3,0,22,1,0,7.25,,1
2,1,1,1,38,1,0,65.6344,C85,0
3,1,3,1,26,0,0,7.925,,1
4,1,1,1,35,1,0,53.1,C123,1
5,0,3,0,35,0,0,8.05,,1
6,0,3,0,28,0,0,8.4583,,2
7,0,1,0,54,0,0,51.8625,E46,1
8,0,3,0,2,3,1,21.075,,1
9,1,3,1,27,0,2,11.1333,,1
10,1,2,1,14,1,0,30.0708,,0
11,1,3,1,4,1,1,16.7,G6,1
12,1,1,1,58,0,0,26.55,C103,1
13,0,3,0,20,0,0,8.05,,1
14,0,3,0,39,1,5,31.275,,1
15,0,3,1,14,0,0,7.8542,,1
16,1,2,1,55,0,0,16.0,,1
17,0,3,0,2,4,1,29.125,,2
18,1,2,0,28,0,0,13.0,,1
19,0,3,1,31,1,0,18.0,,1
20,1,3,1,28,0,0,7.225,,0
21,0,2,0,35,0,0,26.0,,1
22,1,2,0,34,0,0,13.0,D56,1
23,1,3,1,15,0,0,8.0292,,2
24,1,1,0,28,0,0,35.5,A6,1
25,0,3,1,8,3,1,21.075,,1
26,1,3,1,38,1,5,31.3875,,1
27,0,3,0,28,0,0,7.225,,0
28,0,1,0,19,3,2,65.6344,C23 C25 C27,1
29,1,3,1,28,0,0,7.8792,,2
30,0,3,0,28,0,0,7.8958,,1
31,0,1,0,40,0,0,27.7208,,0
32,1,1,1,28,1,0,65.6344,B78,0
33,1,3,1,28,0,0,7.75,,2
34,0,2,0,66,0,0,10.5,,1
35,0,1,0,28,1,0,65.6344,,0
36,0,1,0,42,1,0,52.0,,1
37,1,3,0,28,0,0,7.2292,,0
38,0,3,0,21,0,0,8.05,,1
39,0,3,1,18,2,0,18.0,,1
40,1,3,1,14,1,0,11.2417,,0
41,0,3,1,40,1,0,9.475,,1
42,0,2,1,27,1,0,21.0,,1
43,0,3,0,28,0,0,7.8958,,0
44,1,2,1,3,1,2,41.5792,,0
45,1,3,1,19,0,0,7.8792,,2
46,0,3,0,28,0,0,8.05,,1
47,0,3,0,28,1,0,15.5,,2
48,1,3,1,28,0,0,7.75,,2
49,0,3,0,28,2,0,21.6792,,0
50,0,3,1,18,1,0,17.8,,1
51,0,3,0,7,4,1,39.6875,,1
52,0,3,0,21,0,0,7.8,,1
53,1,1,1,49,1,0,65.6344,D33,0
54,1,2,1,29,1,0,26.0,,1
55,0,1,0,65,0,1,61.9792,B30,0
56,1,1,0,28,0,0,35.5,C52,1
57,1,2,1,21,0,0,10.5,,1
58,0,3,0,28,0,0,7.2292,,0
59,1,2,1,5,1,2,27.75,,1
60,0,3,0,11,5,2,46.9,,1
61,0,3,0,22,0,0,7.2292,,0
62,1,1,1,38,0,0,65.6344,B28,1
63,0,1,0,45,1,0,65.6344,C83,1
64,0,3,0,4,3,2,27.9,,1
65,0,1,0,28,0,0,27.7208,,0
66,1,3,0,28,1,1,15.2458,,0
67,1,2,1,29,0,0,10.5,F33,1
68,0,3,0,19,0,0,8.1583,,1
69,1,3,1,17,4,2,7.925,,1
70,0,3,0,26,2,0,8.6625,,1
71,0,2,0,32,0,0,10.5,,1
72,0,3,1,16,5,2,46.9,,1
73,0,2,0,21,0,0,65.6344,,1
74,0,3,0,26,1,0,14.4542,,0
75,1,3,0,32,0,0,56.4958,,1
76,0,3,0,25,0,0,7.65,F G73,1
77,0,3,0,28,0,0,7.8958,,1
78,0,3,0,28,0,0,8.05,,1
79,1,2,0,0,0,2,29.0,,1
80,1,3,1,30,0,0,12.475,,1
81,0,3,0,22,0,0,9.0,,1
82,1,3,0,29,0,0,9.5,,1
83,1,3,1,28,0,0,7.7875,,2
84,0,1,0,28,0,0,47.1,,1
85,1,2,1,17,0,0,10.5,,1
86,1,3,1,33,3,0,15.85,,1
87,0,3,0,16,1,3,34.375,,1
88,0,3,0,28,0,0,8.05,,1
89,1,1,1,23,3,2,65.6344,C23 C25 C27,1
90,0,3,0,24,0,0,8.05,,1
91,0,3,0,29,0,0,8.05,,1
92,0,3,0,20,0,0,7.8542,,1
93,0,1,0,46,1,0,61.175,E31,1
94,0,3,0,26,1,2,20.575,,1
95,0,3,0,59,0,0,7.25,,1
96,0,3,0,28,0,0,8.05,,1
97,0,1,0,71,0,0,34.6542,A5,0
98,1,1,0,23,0,1,63.3583,D10 D12,0
99,1,2,1,34,0,1,23.0,,1
100,0,2,0,34,1,0,26.0,,1
101,0,3,1,28,0,0,7.8958,,1
102,0,3,0,28,0,0,7.8958,,1
103,0,1,0,21,0,1,65.6344,D26,1
104,0,3,0,33,0,0,8.6542,,1
105,0,3,0,37,2,0,7.925,,1
106,0,3,0,28,0,0,7.8958,,1
107,1,3,1,21,0,0,7.65,,1
108,1,3,0,28,0,0,7.775,,1
109,0,3,0,38,0,0,7.8958,,1
110,1,3,1,28,1,0,24.15,,2
111,0,1,0,47,0,0,52.0,C110,1
112,0,3,1,14,1,0,14.4542,,0
113,0,3,0,22,0,0,8.05,,1
114,0,3,1,20,1,0,9.825,,1
115,0,3,1,17,0,0,14.4583,,0
116,0,3,0,21,0,0,7.925,,1
117,0,3,0,70,0,0,7.75,,2
118,0,2,0,29,1,0,21.0,,1
119,0,1,0,24,0,1,65.6344,B58 B60,0
120,0,3,1,2,4,2,31.275,,1
121,0,2,0,21,2,0,65.6344,,1
122,0,3,0,28,0,0,8.05,,1
123,0,2,0,32,1,0,30.0708,,0
124,1,2,1,32,0,0,13.0,E101,1
125,0,1,0,54,0,1,65.6344,D26,1
126,1,3,0,12,1,0,11.2417,,0
127,0,3,0,28,0,0,7.75,,2
128,1,3,0,24,0,0,7.1417,,1
129,1,3,1,28,1,1,22.3583,F E69,0
130,0,3,0,45,0,0,6.975,,1
131,0,3,0,33,0,0,7.8958,,0
132,0,3,0,20,0,0,7.05,,1
133,0,3,1,47,1,0,14.5,,1
134,1,2,1,29,1,0,26.0,,1
135,0,2,0,25,0,0,13.0,,1
136,0,2,0,23,0,0,15.0458,,0
137,1,1,1,19,0,2,26.2833,D47,1
138,0,1,0,37,1,0,53.1,C123,1
139,0,3,0,16,0,0,9.2167,,1
140,0,1,0,24,0,0,65.6344,B86,0
141,0,3,1,28,0,2,15.2458,,0
142,1,3,1,22,0,0,7.75,,1
143,1,3,1,24,1,0,15.85,,1
144,0,3,0,19,0,0,6.75,,2
145,0,2,0,18,0,0,11.5,,1
146,0,2,0,19,1,1,36.75,,1
147,1,3,0,27,0,0,7.7958,,1
148,0,3,1,9,2,2,34.375,,1
149,0,2,0,36,0,2,26.0,F2,1
150,0,2,0,42,0,0,13.0,,1
151,0,2,0,51,0,0,12.525,,1
152,1,1,1,22,1,0,65.6344,C2,1
153,0,3,0,55,0,0,8.05,,1
154,0,3,0,40,0,2,14.5,,1
155,0,3,0,28,0,0,7.3125,,1
156,0,1,0,51,0,1,61.3792,,0
157,1,3,1,16,0,0,7.7333,,2
158,0,3,0,30,0,0,8.05,,1
159,0,3,0,28,0,0,8.6625,,1
160,0,3,0,28,8,2,65.6344,,1
161,0,3,0,44,0,1,16.1,,1
162,1,2,1,40,0,0,15.75,,1
163,0,3,0,26,0,0,7.775,,1
164,0,3,0,17,0,0,8.6625,,1
165,0,3,0,1,4,1,39.6875,,1
166,1,3,0,9,0,2,20.525,,1
167,1,1,1,28,0,1,55.0,E33,1
168,0,3,1,45,1,4,27.9,,1
169,0,1,0,28,0,0,25.925,,1
170,0,3,0,28,0,0,56.4958,,1
171,0,1,0,61,0,0,33.5,B19,1
172,0,3,0,4,4,1,29.125,,2
173,1,3,1,1,1,1,11.1333,,1
174,0,3,0,21,0,0,7.925,,1
175,0,1,0,56,0,0,30.6958,A7,0
176,0,3,0,18,1,1,7.8542,,1
177,0,3,0,28,3,1,25.4667,,1
178,0,1,1,50,0,0,28.7125,C49,0
179,0,2,0,30,0,0,13.0,,1
180,0,3,0,36,0,0,0.0,,1
181,0,3,1,28,8,2,65.6344,,1
182,0,2,0,28,0,0,15.05,,0
183,0,3,0,9,4,2,31.3875,,1
184,1,2,0,1,2,1,39.0,F4,1
185,1,3,1,4,0,2,22.025,,1
186,0,1,0,28,0,0,50.0,A32,1
187,1,3,1,28,1,0,15.5,,2
188,1,1,0,45,0,0,26.55,,1
189,0,3,0,40,1,1,15.5,,2
190,0,3,0,36,0,0,7.8958,,1
191,1,2,1,32,0,0,13.0,,1
192,0,2,0,19,0,0,13.0,,1
193,1,3,1,19,1,0,7.8542,,1
194,1,2,0,3,1,1,26.0,F2,1
195,1,1,1,44,0,0,27.7208,B4,0
196,1,1,1,58,0,0,65.6344,B80,0
197,0,3,0,28,0,0,7.75,,2
198,0,3,0,42,0,1,8.4042,,1
199,1,3,1,28,0,0,7.75,,2
200,0,2,1,24,0,0,13.0,,1
201,0,3,0,28,0,0,9.5,,1
202,0,3,0,28,8,2,65.6344,,1
203,0,3,0,34,0,0,6.4958,,1
204,0,3,0,45,0,0,7.225,,0
205,1,3,0,18,0,0,8.05,,1
206,0,3,1,2,0,1,10.4625,G6,1
207,0,3,0,32,1,0,15.85,,1
208,1,3,0,26,0,0,18.7875,,0
209,1,3,1,16,0,0,7.75,,2
210,1,1,0,40,0,0,31.0,A31,0
211,0,3,0,24,0,0,7.05,,1
212,1,2,1,35,0,0,21.0,,1
213,0,3,0,22,0,0,7.25,,1
214,0,2,0,30,0,0,13.0,,1
215,0,3,0,28,1,0,7.75,,2
216,1,1,1,31,1,0,65.6344,D36,0
217,1,3,1,27,0,0,7.925,,1
218,0,2,0,42,1,0,27.0,,1
219,1,1,1,32,0,0,65.6344,D15,0
220,0,2,0,30,0,0,10.5,,1
